wind(m/s),    lat,     lon
    7.18,   23.34,  280.38
    7.20,   23.34,  280.42
    7.21,   23.34,  280.46
    7.22,   23.33,  280.50
    7.23,   23.33,  280.54
    7.23,   23.33,  280.57
    7.24,   23.33,  280.61
    7.24,   23.32,  280.65
    7.25,   23.32,  280.69
    7.25,   23.32,  280.72
    7.24,   23.31,  280.76
    7.24,   23.31,  280.80
    7.24,   23.31,  280.84
    7.23,   23.31,  280.87
    7.22,   23.30,  280.91
    7.21,   23.30,  280.95
    7.20,   23.30,  280.99
    7.19,   23.29,  281.03
    7.18,   23.29,  281.06
    7.16,   23.29,  281.10
    7.14,   23.28,  281.14
    7.12,   23.28,  281.18
    7.10,   23.28,  281.21
    7.08,   23.27,  281.25
    7.06,   23.27,  281.29
    7.03,   23.27,  281.33
    7.01,   23.27,  281.36
    6.98,   23.26,  281.40
    6.95,   23.26,  281.44
    6.92,   23.26,  281.48
    6.89,   23.25,  281.52
    6.86,   23.25,  281.55
    6.82,   23.25,  281.59
    6.79,   23.24,  281.63
    6.75,   23.24,  281.67
    6.72,   23.24,  281.70
    6.68,   23.23,  281.74
    6.64,   23.23,  281.78
    6.60,   23.23,  281.82
    6.56,   23.22,  281.85
    6.51,   23.22,  281.89
    6.47,   23.22,  281.93
    6.42,   23.21,  281.97
    6.38,   23.21,  282.00
    6.33,   23.21,  282.04
    6.29,   23.20,  282.08
    6.24,   23.20,  282.12
    6.19,   23.19,  282.15
    6.14,   23.19,  282.19
    6.09,   23.19,  282.23
    6.04,   23.18,  282.27
    5.99,   23.18,  282.30
    5.94,   23.18,  282.34
    5.89,   23.17,  282.38
    5.84,   23.17,  282.42
    5.78,   23.17,  282.45
    5.73,   23.16,  282.49
    5.68,   23.16,  282.53
    5.62,   23.15,  282.57
    5.57,   23.15,  282.61
    5.51,   23.15,  282.64
    5.46,   23.14,  282.68
    5.41,   23.14,  282.72
    5.35,   23.14,  282.76
    5.30,   23.13,  282.79
    5.24,   23.13,  282.83
    5.19,   23.12,  282.87
    5.13,   23.12,  282.91
    5.08,   23.12,  282.94
    5.02,   23.11,  282.98
    4.97,   23.11,  283.02
    4.91,   23.11,  283.06
    4.86,   23.10,  283.09
    4.80,   23.10,  283.13
    4.75,   23.09,  283.17
    4.69,   23.09,  283.21
    4.63,   23.09,  283.24
    4.58,   23.08,  283.28
    4.52,   23.08,  283.32
    4.47,   23.07,  283.36
    4.41,   23.07,  283.39
    4.36,   23.07,  283.43
    4.31,   23.06,  283.47
    4.25,   23.06,  283.50
    4.20,   23.05,  283.54
    4.15,   23.05,  283.58
    4.09,   23.04,  283.62
    4.04,   23.04,  283.65
    3.99,   23.04,  283.69
    3.94,   23.03,  283.73
    3.89,   23.03,  283.77
    3.84,   23.02,  283.80
    3.79,   23.02,  283.84
    3.74,   23.02,  283.88
    3.69,   23.01,  283.92
    3.64,   23.01,  283.95
    3.59,   23.00,  283.99
    3.55,   23.00,  284.03
    3.50,   22.99,  284.07
    3.45,   22.99,  284.10
    3.41,   22.99,  284.14
    3.36,   22.98,  284.18
    3.32,   22.98,  284.22
    3.27,   22.97,  284.25
    3.23,   22.97,  284.29
    1.72,   23.57,  276.53
    1.77,   23.57,  276.56
    1.80,   23.57,  276.60
    1.84,   23.57,  276.64
    1.87,   23.57,  276.68
    2.09,   23.57,  276.72
    2.14,   23.57,  276.75
    2.19,   23.57,  276.79
    2.24,   23.57,  276.83
    2.29,   23.56,  276.87
    2.34,   23.56,  276.90
    2.39,   23.56,  276.94
    2.44,   23.56,  276.98
    2.50,   23.56,  277.02
    2.55,   23.56,  277.06
    2.60,   23.56,  277.09
    2.66,   23.56,  277.13
    2.72,   23.55,  277.17
    2.77,   23.55,  277.21
    2.83,   23.55,  277.25
    2.89,   23.55,  277.28
    2.94,   23.55,  277.32
    3.00,   23.55,  277.36
    3.06,   23.55,  277.40
    3.12,   23.54,  277.44
    3.18,   23.54,  277.47
    3.25,   23.54,  277.51
    3.31,   23.54,  277.55
    3.37,   23.54,  277.59
    3.43,   23.54,  277.63
    3.50,   23.53,  277.66
    3.56,   23.53,  277.70
    3.62,   23.53,  277.74
    3.69,   23.53,  277.78
    3.75,   23.53,  277.82
    3.82,   23.53,  277.85
    3.89,   23.52,  277.89
    3.95,   23.52,  277.93
    4.02,   23.52,  277.97
    4.09,   23.52,  278.00
    4.15,   23.52,  278.04
    4.22,   23.52,  278.08
    4.29,   23.51,  278.12
    4.36,   23.51,  278.16
    4.43,   23.51,  278.19
    4.50,   23.51,  278.23
    4.57,   23.51,  278.27
    4.63,   23.50,  278.31
